unit_id,average_baseline_price,number_of_bookings,property_id,bedroom,bathroom,beds,capacity,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,property_type,property_design,lat,lng,area_id,area_name
UN1865,437102.97901474923,113,PR0345,1,1,1,2,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,4,1,-8.6788807,115.4900163,A0020,Nusa Penida
UN1944,1236396.9876557041,299,PR0363,1,1,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,4,3,-8.81394,115.1096954,A0013,Padang Padang
UN1945,1177827.2160318748,241,PR0363,1,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,4,3,-8.81394,115.1096954,A0013,Padang Padang
UN1946,1256243.9887736917,252,PR0363,1,1,1,2,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,4,3,-8.81394,115.1096954,A0013,Padang Padang
UN1947,1200784.7767038282,243,PR0363,1,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,4,3,-8.81394,115.1096954,A0013,Padang Padang
UN1948,1148705.3163531113,264,PR0363,1,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,4,3,-8.81394,115.1096954,A0013,Padang Padang
UN1949,1382741.3863727094,209,PR0363,1,1,1,4,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,4,3,-8.81394,115.1096954,A0013,Padang Padang
UN1970,521758.73306146567,141,PR0366,1,1,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,4,1,-8.675762,115.56743,A0020,Nusa Penida
UN1974,558721.6732859077,123,PR0366,1,1,1,2,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,4,1,-8.675762,115.56743,A0020,Nusa Penida
UN1975,518554.420765432,135,PR0366,1,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,4,1,-8.675762,115.56743,A0020,Nusa Penida
UN1976,599667.950117845,99,PR0366,1,1,1,2,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,4,1,-8.675762,115.56743,A0020,Nusa Penida
UN1977,602162.4271683672,98,PR0366,1,1,1,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,4,1,-8.675762,115.56743,A0020,Nusa Penida
